gene_id	gene_name	gene_type	mean_expression	median_expression
ENSG00000162572.21	SCNN1D	protein_coding	283.57336	218.0
ENSG00000162576.17	MXRA8	protein_coding	203.00482	160.0
ENSG00000162585.17	FAAP20	protein_coding	1077.5897	844.0
ENSG00000162591.16	MEGF6	protein_coding	3689.0627	2553.5
ENSG00000162592.10	CCDC27	protein_coding	10.319498	6.0
ENSG00000162594.16	IL23R	protein_coding	16.985521	3.0
ENSG00000162595.7	DIRAS3	protein_coding	14.715251	1.0
ENSG00000162598.13	C1orf87	protein_coding	0.77509654	0.0
ENSG00000162599.17	NFIA	protein_coding	1333.8011	252.0
ENSG00000162600.12	OMA1	protein_coding	572.47876	515.5
ENSG00000162601.11	MYSM1	protein_coding	3834.7654	3574.0
ENSG00000162604.12	TM2D1	protein_coding	952.8456	903.0
ENSG00000162607.13	USP1	protein_coding	2412.53	1997.5
ENSG00000162613.17	FUBP1	protein_coding	9835.053	9231.5
ENSG00000162614.19	NEXN	protein_coding	195.44208	120.0
ENSG00000162616.9	DNAJB4	protein_coding	700.99615	548.5
ENSG00000162618.15	ADGRL4	protein_coding	10.137066	1.0
ENSG00000162620.16	LRRIQ3	protein_coding	16.646719	9.0
ENSG00000162621.7	LRRC53	protein_coding	0.26061776	0.0
ENSG00000162623.16	TYW3	protein_coding	826.65924	669.0
ENSG00000162624.14	LHX8	protein_coding	0.4092664	0.0
ENSG00000162627.17	SNX7	protein_coding	9.875483	1.0
ENSG00000162630.6	B3GALT2	protein_coding	327.833	265.0
ENSG00000162631.19	NTNG1	protein_coding	30.03668	4.0
ENSG00000162636.16	FAM102B	protein_coding	2248.1748	1884.0
ENSG00000162639.16	HENMT1	protein_coding	919.362	604.0
ENSG00000162641.20	AKNAD1	protein_coding	12.217181	8.0
ENSG00000162642.14	C1orf52	protein_coding	1033.6216	940.0
ENSG00000162643.13	DNAI3	protein_coding	14.119691	2.0
ENSG00000162645.13	GBP2	protein_coding	3764.3398	2558.5
ENSG00000162650.16	ATXN7L2	protein_coding	495.7886	370.5
ENSG00000162654.9	GBP4	protein_coding	2895.998	1700.0
ENSG00000162664.17	ZNF326	protein_coding	4915.3726	4138.0
ENSG00000162669.16	HFM1	protein_coding	20.972973	2.5
ENSG00000162670.11	BRINP3	protein_coding	3.6206563	0.0
ENSG00000162676.12	GFI1	protein_coding	3984.0474	2853.0
ENSG00000162685.6	LSP1P3	processed_pseudogene	0.7915058	0.0
ENSG00000162687.19	KCNT2	protein_coding	25.598455	1.0
ENSG00000162688.17	AGL	protein_coding	1180.8475	1071.0
ENSG00000162692.12	VCAM1	protein_coding	131.75386	24.0
ENSG00000162694.14	EXTL2	protein_coding	327.36197	212.0
ENSG00000162695.12	SLC30A7	protein_coding	2250.169	2119.5
ENSG00000162699.5	DNAJA1P5	processed_pseudogene	0.746139	0.0
ENSG00000162702.8	ZNF281	protein_coding	3814.7644	3444.0
ENSG00000162704.16	ARPC5	protein_coding	4599.9585	3182.5
ENSG00000162706.13	CADM3	protein_coding	3.7316601	1.0
ENSG00000162711.18	NLRP3	protein_coding	4360.276	2776.5
ENSG00000162714.12	ZNF496	protein_coding	3313.4294	2797.5
ENSG00000162722.9	TRIM58	protein_coding	5341.028	1999.5
ENSG00000162723.10	SLAMF9	protein_coding	22.076254	6.0
ENSG00000162727.3	OR2M5	protein_coding	0.32818532	0.0
ENSG00000162728.5	KCNJ9	protein_coding	46.675674	24.5
ENSG00000162729.14	IGSF8	protein_coding	715.6187	578.0
ENSG00000162733.19	DDR2	protein_coding	82.27316	43.0
ENSG00000162734.13	PEA15	protein_coding	1824.4479	1408.5
ENSG00000162735.19	PEX19	protein_coding	1069.724	989.0
ENSG00000162736.17	NCSTN	protein_coding	5287.39	4470.5
ENSG00000162738.6	VANGL2	protein_coding	149.76254	37.0
ENSG00000162739.14	SLAMF6	protein_coding	394.23456	177.0
ENSG00000162745.10	OLFML2B	protein_coding	114.76834	36.0
ENSG00000162746.14	FCRLB	protein_coding	41.067566	20.5
ENSG00000162747.12	FCGR3B	protein_coding	1585.0232	77.0
ENSG00000162753.13	SLC9C2	protein_coding	5.0559845	2.0
ENSG00000162755.14	KLHDC9	protein_coding	31.842665	27.0
ENSG00000162757.4	C1orf74	protein_coding	68.639	57.0
ENSG00000162761.14	LMX1A	protein_coding	0.50482625	0.0
ENSG00000162763.4	LRRC52	protein_coding	0.1988417	0.0
ENSG00000162769.13	FLVCR1	protein_coding	825.1776	775.0
ENSG00000162771.8	FAM71A	protein_coding	2.1032817	1.0
ENSG00000162772.17	ATF3	protein_coding	4081.2183	2139.0
ENSG00000162775.16	RBM15	protein_coding	3652.8408	3672.5
ENSG00000162777.17	DENND2D	protein_coding	1274.4489	1012.0
ENSG00000162779.22	AXDND1	protein_coding	17.977798	12.0
ENSG00000162782.16	TDRD5	protein_coding	5.1911197	1.0
ENSG00000162783.11	IER5	protein_coding	4850.7637	3783.0
ENSG00000162804.14	SNED1	protein_coding	555.4334	350.5
ENSG00000162813.18	BPNT1	protein_coding	389.89575	254.5
ENSG00000162814.11	SPATA17	protein_coding	5.7017374	3.0
ENSG00000162817.7	C1orf115	protein_coding	35.015446	11.0
ENSG00000162819.12	BROX	protein_coding	2639.6003	2305.5
ENSG00000162825.16	NBPF20	protein_coding	97.48359	81.0
ENSG00000162836.12	ACP6	protein_coding	504.0724	336.0
ENSG00000162840.4	MT2P1	processed_pseudogene	6.707529	1.0
ENSG00000162843.17	WDR64	protein_coding	5.1621623	3.0
ENSG00000162849.16	KIF26B	protein_coding	782.0309	224.5
ENSG00000162851.8	TFB2M	protein_coding	809.97296	630.0
ENSG00000162852.14	CNST	protein_coding	3544.5771	2907.5
ENSG00000162869.16	PPP1R21	protein_coding	1231.1139	1088.5
ENSG00000162873.15	KLHDC8A	protein_coding	88.66216	10.0
ENSG00000162877.13	PM20D1	protein_coding	17.11583	8.0
ENSG00000162878.13	PKDCC	protein_coding	38.381275	5.0
ENSG00000162881.6	OXER1	protein_coding	199.74132	136.5
ENSG00000162882.15	HAAO	protein_coding	384.23166	268.0
ENSG00000162885.14	B3GALNT2	protein_coding	623.12744	515.0
ENSG00000162888.4	C1orf147	lncRNA	54.4527	40.0
ENSG00000162889.11	MAPKAPK2	protein_coding	11104.919	9214.5
ENSG00000162891.10	IL20	protein_coding	1.7316602	0.0
ENSG00000162892.16	IL24	protein_coding	72.49517	26.0
ENSG00000162894.12	FCMR	protein_coding	790.89575	432.0
ENSG00000162896.6	PIGR	protein_coding	20.839767	7.0
ENSG00000162897.16	FCAMR	protein_coding	4.9131274	1.0
ENSG00000162909.18	CAPN2	protein_coding	5958.0317	4275.0
ENSG00000162910.19	MRPL55	protein_coding	968.18146	709.0
ENSG00000162913.10	OBSCN-AS1	lncRNA	37.13031	25.0
ENSG00000162923.17	WDR26	protein_coding	15408.722	13547.5
ENSG00000162924.15	REL	protein_coding	6783.9575	5928.5
ENSG00000162927.14	PUS10	protein_coding	640.4334	573.5
ENSG00000162928.9	PEX13	protein_coding	881.4286	796.0
ENSG00000162929.14	KIAA1841	protein_coding	409.7442	328.0
ENSG00000162931.12	TRIM17	protein_coding	87.194016	61.0
ENSG00000162944.11	RFTN2	protein_coding	54.726833	31.0
ENSG00000162946.23	DISC1	protein_coding	934.333	701.0
ENSG00000162947.5	LINC01931	lncRNA	0.62741315	0.0
ENSG00000162949.16	CAPN13	protein_coding	8.117761	3.0
ENSG00000162951.11	LRRTM1	protein_coding	1.8320464	0.0
ENSG00000162959.13	MEMO1	protein_coding	385.9025	362.5
ENSG00000162961.14	DPY30	protein_coding	414.5502	301.0
ENSG00000162971.11	TYW5	protein_coding	1099.0212	984.5
ENSG00000162972.10	MAIP1	protein_coding	386.95367	315.5
ENSG00000162975.5	KCNF1	protein_coding	3.9362934	1.0
ENSG00000162976.13	SLC66A3	protein_coding	894.0714	652.5
ENSG00000162980.17	ARL5A	protein_coding	1270.7018	1145.0
ENSG00000162981.14	LRATD1	protein_coding	130.16313	1.0
ENSG00000162989.5	KCNJ3	protein_coding	4.1554055	1.0
ENSG00000162992.4	NEUROD1	protein_coding	1.0173745	0.0
ENSG00000162994.16	CLHC1	protein_coding	228.20367	158.0
ENSG00000162997.15	PRORSD1P	transcribed_unitary_pseudogene	168.63223	147.0
ENSG00000162998.5	FRZB	protein_coding	5.7934365	1.0
ENSG00000162999.13	DUSP19	protein_coding	66.17664	34.0
ENSG00000163001.12	CFAP36	protein_coding	611.4479	463.0
ENSG00000163002.13	NUP35	protein_coding	237.75482	202.0
ENSG00000163006.12	CCDC138	protein_coding	323.4141	267.0
ENSG00000163012.4	ZSWIM2	protein_coding	1.8291506	0.0
ENSG00000163013.12	FBXO41	protein_coding	2228.9421	1910.0
ENSG00000163016.10	ALMS1P1	transcribed_unprocessed_pseudogene	23.25193	15.0
ENSG00000163017.14	ACTG2	protein_coding	4.9054055	3.0
ENSG00000163026.12	WDCP	protein_coding	222.04247	170.5
ENSG00000163029.16	SMC6	protein_coding	1372.8397	1072.5
ENSG00000163032.12	VSNL1	protein_coding	8.893823	5.0
ENSG00000163040.15	CCDC74A	protein_coding	39.71332	9.0
ENSG00000163041.13	H3-3A	protein_coding	8216.113	6306.5
ENSG00000163046.15	ANKRD30BL	protein_coding	88.75386	3.0
ENSG00000163050.18	COQ8A	protein_coding	160.24518	138.0
ENSG00000163053.11	SLC16A14	protein_coding	90.65444	38.5
ENSG00000163060.8	TEKT4	protein_coding	0.8368726	0.0
ENSG00000163064.7	EN1	protein_coding	0.8166023	0.0
ENSG00000163069.13	SGCB	protein_coding	81.12259	29.0
ENSG00000163071.11	SPATA18	protein_coding	28.041506	3.0
ENSG00000163072.16	NOSTRIN	protein_coding	140.83205	99.0
ENSG00000163075.13	CFAP221	protein_coding	2.2557914	1.0
ENSG00000163081.4	CCDC140	lncRNA	1.257722	0.0
ENSG00000163082.10	SGPP2	protein_coding	186.1805	128.5
ENSG00000163083.6	INHBB	protein_coding	11.213321	4.0
ENSG00000163092.21	XIRP2	protein_coding	30.170849	3.0
ENSG00000163093.12	BBS5	protein_coding	62.517376	48.0
ENSG00000163098.6	BIRC8	transcribed_processed_pseudogene	0.28764477	0.0
ENSG00000163104.18	SMARCAD1	protein_coding	1539.8802	1318.0
ENSG00000163106.11	HPGDS	protein_coding	383.65347	39.5
ENSG00000163110.15	PDLIM5	protein_coding	1629.8253	1314.0
ENSG00000163114.6	PDHA2	protein_coding	0.14092664	0.0
ENSG00000163116.10	STPG2	protein_coding	22.47973	13.0
ENSG00000163121.10	NEURL3	protein_coding	7.0781856	3.0
ENSG00000163125.15	RPRD2	protein_coding	3632.7983	3331.5
ENSG00000163126.15	ANKRD23	protein_coding	52.470078	44.0
ENSG00000163131.11	CTSS	protein_coding	16832.375	8029.5
ENSG00000163132.8	MSX1	protein_coding	40.546333	3.0
ENSG00000163138.19	PACRGL	protein_coding	317.03668	272.5
ENSG00000163141.20	BNIPL	protein_coding	90.944016	46.0
ENSG00000163145.13	C1QTNF7	protein_coding	27.084942	12.0
ENSG00000163154.6	TNFAIP8L2	protein_coding	326.6245	146.0
ENSG00000163155.12	LYSMD1	protein_coding	80.75483	69.0
ENSG00000163156.12	SCNM1	protein_coding	1055.0348	690.0
ENSG00000163157.15	TMOD4	protein_coding	75.64768	51.0
ENSG00000163159.14	VPS72	protein_coding	757.2963	523.5
ENSG00000163161.14	ERCC3	protein_coding	2265.6794	2099.0
ENSG00000163162.9	RNF149	protein_coding	4183.409	3245.5
ENSG00000163166.15	IWS1	protein_coding	1446.3629	1164.0
ENSG00000163170.12	BOLA3	protein_coding	101.77316	66.0
ENSG00000163171.8	CDC42EP3	protein_coding	4014.4382	2775.5
ENSG00000163191.6	S100A11	protein_coding	3628.4285	1355.0
ENSG00000163202.5	LCE3D	protein_coding	0.045366794	0.0
ENSG00000163206.6	SMCP	protein_coding	0.05212355	0.0
ENSG00000163207.7	IVL	protein_coding	0.3918919	0.0
ENSG00000163209.15	SPRR3	protein_coding	0.24710424	0.0
ENSG00000163214.21	DHX57	protein_coding	815.5647	763.5
ENSG00000163216.7	SPRR2D	protein_coding	0.74903476	0.0
ENSG00000163217.2	BMP10	protein_coding	22.926641	9.0
ENSG00000163218.15	PGLYRP4	protein_coding	3.8494208	1.0
ENSG00000163219.12	ARHGAP25	protein_coding	3001.1353	2567.0
ENSG00000163220.11	S100A9	protein_coding	61749.473	15489.5
ENSG00000163221.9	S100A12	protein_coding	6088.4043	865.5
ENSG00000163235.16	TGFA	protein_coding	174.69016	63.5
ENSG00000163239.12	TDRD10	protein_coding	19.666988	5.0
ENSG00000163249.13	CCNYL1	protein_coding	901.62256	811.0
ENSG00000163251.4	FZD5	protein_coding	757.1419	382.5
ENSG00000163254.5	CRYGC	protein_coding	0.8918919	0.0
ENSG00000163257.11	DCAF16	protein_coding	3272.4036	3090.0
ENSG00000163263.7	C1orf189	protein_coding	8.5472975	6.0
ENSG00000163273.4	NPPC	protein_coding	17.664093	4.0
ENSG00000163281.12	GNPDA2	protein_coding	560.584	463.0
ENSG00000163283.7	ALPP	protein_coding	3.7770271	2.0
ENSG00000163285.8	GABRG1	protein_coding	26.300194	0.0
ENSG00000163286.9	ALPG	protein_coding	1.046332	0.0
ENSG00000163288.14	GABRB1	protein_coding	9.683397	2.0
ENSG00000163291.14	PAQR3	protein_coding	933.3832	768.5
ENSG00000163293.12	NIPAL1	protein_coding	12.73166	7.0
ENSG00000163295.5	ALPI	protein_coding	0.980695	0.0
ENSG00000163297.17	ANTXR2	protein_coding	4564.0464	4044.0
ENSG00000163312.11	HELQ	protein_coding	591.2259	539.0
ENSG00000163319.11	MRPS18C	protein_coding	201.14865	171.5
ENSG00000163320.12	CGGBP1	protein_coding	4932.891	4347.5
ENSG00000163322.14	ABRAXAS1	protein_coding	591.19403	487.0
ENSG00000163328.14	GPR155	protein_coding	314.47296	190.5
ENSG00000163331.12	DAPL1	protein_coding	21.294401	3.0
ENSG00000163344.6	PMVK	protein_coding	600.46234	403.0
ENSG00000163346.17	PBXIP1	protein_coding	4809.1553	3720.5
ENSG00000163347.6	CLDN1	protein_coding	8.301158	1.0
ENSG00000163348.4	PYGO2	protein_coding	1099.9575	964.5
ENSG00000163349.22	HIPK1	protein_coding	17810.246	16571.5
ENSG00000163352.5	LENEP	protein_coding	4.784749	3.0
ENSG00000163354.15	DCST2	protein_coding	102.58591	59.0
ENSG00000163357.11	DCST1	protein_coding	43.899612	25.0
ENSG00000163359.16	COL6A3	protein_coding	167.62741	71.0
ENSG00000163362.11	INAVA	protein_coding	99.65347	25.0
ENSG00000163364.10	LINC01116	lncRNA	1.4420849	0.0
ENSG00000163374.19	YY1AP1	protein_coding	4966.253	4595.0
ENSG00000163376.11	KBTBD8	protein_coding	736.6901	455.5
ENSG00000163377.16	TAFA4	protein_coding	0.95752895	0.0
ENSG00000163378.14	EOGT	protein_coding	1068.39	926.0
ENSG00000163380.16	LMOD3	protein_coding	55.177605	44.0
ENSG00000163382.12	NAXE	protein_coding	1006.5116	649.0
ENSG00000163389.12	POGLUT1	protein_coding	772.4894	629.0
ENSG00000163393.13	SLC22A15	protein_coding	1399.3456	742.5
ENSG00000163394.6	CCKAR	protein_coding	0.8243243	0.0
ENSG00000163395.17	IGFN1	protein_coding	8.190154	1.0
ENSG00000163399.16	ATP1A1	protein_coding	3942.7026	3649.0
ENSG00000163406.11	SLC15A2	protein_coding	1142.9392	690.0
ENSG00000163412.13	EIF4E3	protein_coding	2386.7327	1796.5
ENSG00000163421.9	PROK2	protein_coding	1729.7365	825.0
ENSG00000163424.9	TEX55	protein_coding	2.5627413	1.0
ENSG00000163428.4	LRRC58	protein_coding	3020.8088	2706.5
ENSG00000163430.12	FSTL1	protein_coding	174.09363	50.0
ENSG00000163431.13	LMOD1	protein_coding	12.959459	3.0
ENSG00000163435.16	ELF3	protein_coding	88.8832	60.0
ENSG00000163440.12	PDCL2	protein_coding	0.4681467	0.0
ENSG00000163444.12	TMEM183A	protein_coding	3365.0974	3066.0
ENSG00000163449.11	TMEM169	protein_coding	14.565637	5.0
ENSG00000163453.11	IGFBP7	protein_coding	2435.8176	1378.5
ENSG00000163462.18	TRIM46	protein_coding	428.05695	272.0
ENSG00000163463.13	KRTCAP2	protein_coding	225.9971	151.5
ENSG00000163464.8	CXCR1	protein_coding	479.5888	51.0
ENSG00000163466.16	ARPC2	protein_coding	21447.0	18758.0
ENSG00000163467.12	TSACC	protein_coding	15.164093	11.0
ENSG00000163468.15	CCT3	protein_coding	4495.445	3221.5
ENSG00000163472.19	TMEM79	protein_coding	156.94595	105.5
ENSG00000163479.14	SSR2	protein_coding	4393.5454	3472.0
ENSG00000163481.8	RNF25	protein_coding	312.94498	244.0
ENSG00000163482.12	STK36	protein_coding	667.4025	485.0
ENSG00000163485.17	ADORA1	protein_coding	6.964286	2.0
ENSG00000163491.16	NEK10	protein_coding	108.42278	22.0
ENSG00000163492.15	CCDC141	protein_coding	229.58977	86.0
ENSG00000163497.3	FEV	protein_coding	25.344595	0.0
ENSG00000163499.12	CRYBA2	protein_coding	0.8706564	0.0
ENSG00000163501.7	IHH	protein_coding	3.7528958	2.0
ENSG00000163507.14	CIP2A	protein_coding	741.8388	639.5
ENSG00000163508.13	EOMES	protein_coding	75.179535	32.0
ENSG00000163510.14	CWC22	protein_coding	981.93243	838.0
ENSG00000163512.14	AZI2	protein_coding	638.47876	538.0
ENSG00000163513.19	TGFBR2	protein_coding	5729.2847	4563.0
ENSG00000163515.6	RETNLB	protein_coding	0.21718147	0.0
ENSG00000163516.14	ANKZF1	protein_coding	1487.3812	1389.5
ENSG00000163517.15	HDAC11	protein_coding	152.28088	119.0
ENSG00000163518.11	FCRL4	protein_coding	1.7857143	0.0
ENSG00000163519.14	TRAT1	protein_coding	333.34363	158.0
ENSG00000163520.14	FBLN2	protein_coding	280.45367	65.0
ENSG00000163521.16	GLB1L	protein_coding	216.4363	144.0
ENSG00000163527.10	STT3B	protein_coding	11469.391	9943.5
ENSG00000163528.13	CHCHD4	protein_coding	188.2973	110.5
ENSG00000163530.4	DPPA2	protein_coding	1.4507722	0.0
ENSG00000163531.15	NFASC	protein_coding	40.13224	19.0
ENSG00000163534.15	FCRL1	protein_coding	387.59073	133.0
ENSG00000163535.18	SGO2	protein_coding	584.87067	410.0
ENSG00000163536.13	SERPINI1	protein_coding	115.541504	47.0
ENSG00000163539.17	CLASP2	protein_coding	3545.554	3273.0
ENSG00000163541.12	SUCLG1	protein_coding	1918.2732	1699.0
ENSG00000163545.11	NUAK2	protein_coding	875.7838	421.0
ENSG00000163554.15	SPTA1	protein_coding	5461.025	916.0
ENSG00000163558.13	PRKCI	protein_coding	1306.1719	1138.5
ENSG00000163563.8	MNDA	protein_coding	5990.2104	1933.0
ENSG00000163564.15	PYHIN1	protein_coding	334.16022	145.5
ENSG00000163565.19	IFI16	protein_coding	3713.4055	2522.0
ENSG00000163568.15	AIM2	protein_coding	81.588806	32.0
ENSG00000163576.18	EFHB	protein_coding	25.888996	19.0
ENSG00000163577.8	EIF5A2	protein_coding	216.09653	134.0
ENSG00000163581.14	SLC2A2	protein_coding	1.0318533	0.0
ENSG00000163584.18	RPL22L1	protein_coding	1559.3523	818.0
ENSG00000163586.10	FABP1	protein_coding	0.27702704	0.0
ENSG00000163590.14	PPM1L	protein_coding	1041.3485	869.0
ENSG00000163596.16	ICA1L	protein_coding	782.1409	667.5
ENSG00000163597.15	SNHG16	lncRNA	1846.3784	1595.5
ENSG00000163599.17	CTLA4	protein_coding	85.4083	31.0
ENSG00000163600.13	ICOS	protein_coding	261.2973	83.5
ENSG00000163602.11	RYBP	protein_coding	3364.1353	2812.0
ENSG00000163605.15	PPP4R2	protein_coding	3656.1428	3137.0
ENSG00000163606.11	CD200R1	protein_coding	136.57529	51.0
ENSG00000163607.17	GTPBP8	protein_coding	436.27316	396.0
ENSG00000163608.15	NEPRO	protein_coding	1772.8397	1639.0
ENSG00000163611.11	SPICE1	protein_coding	131.65251	100.0
ENSG00000163612.10	FAM86KP	unprocessed_pseudogene	4.6177607	3.0
ENSG00000163617.11	CCDC191	protein_coding	250.55116	195.5
ENSG00000163618.18	CADPS	protein_coding	3.6824324	0.0
ENSG00000163623.9	NKX6-1	protein_coding	4.026062	0.0
ENSG00000163624.6	CDS1	protein_coding	18.228764	5.0
ENSG00000163625.16	WDFY3	protein_coding	2705.2761	1518.0
ENSG00000163626.17	COX18	protein_coding	709.41986	660.5
ENSG00000163629.13	PTPN13	protein_coding	137.48166	47.0
ENSG00000163630.11	SYNPR	protein_coding	0.47200772	0.0
ENSG00000163631.17	ALB	protein_coding	5.6283784	2.0
ENSG00000163632.14	C3orf49	protein_coding	31.655405	27.0
ENSG00000163633.12	C4orf36	protein_coding	1.8127413	1.0
ENSG00000163634.12	THOC7	protein_coding	1197.0482	789.5
ENSG00000163635.20	ATXN7	protein_coding	5526.1777	5408.5
ENSG00000163636.11	PSMD6	protein_coding	4605.806	4286.5
ENSG00000163637.13	PRICKLE2	protein_coding	34.25579	5.0
ENSG00000163638.13	ADAMTS9	protein_coding	35.07336	3.0
ENSG00000163644.15	PPM1K	protein_coding	1509.0897	1267.0
ENSG00000163645.15	ERICH6	protein_coding	9.137066	7.0
ENSG00000163646.12	CLRN1	protein_coding	2.3832047	1.0
ENSG00000163655.16	GMPS	protein_coding	3474.7297	3155.5
ENSG00000163659.13	TIPARP	protein_coding	4310.3726	3433.0
ENSG00000163660.12	CCNL1	protein_coding	33513.84	28884.5
ENSG00000163661.4	PTX3	protein_coding	979.1477	462.0
ENSG00000163666.10	HESX1	protein_coding	98.165054	62.0
ENSG00000163673.7	DCLK3	protein_coding	3.034749	1.0
ENSG00000163681.16	SLMAP	protein_coding	4021.7036	3978.0
ENSG00000163682.17	RPL9	protein_coding	33499.242	19483.5
ENSG00000163683.12	SMIM14	protein_coding	615.2037	356.5
ENSG00000163684.12	RPP14	protein_coding	382.09363	347.0
ENSG00000163686.15	ABHD6	protein_coding	122.802124	85.0
ENSG00000163687.14	DNASE1L3	protein_coding	25.442085	8.0
ENSG00000163689.20	CFAP20DC	protein_coding	29.94691	13.0
ENSG00000163694.15	RBM47	protein_coding	1695.6091	884.0
ENSG00000163697.17	APBB2	protein_coding	199.35329	67.0
ENSG00000163701.19	IL17RE	protein_coding	467.44788	84.5
ENSG00000163702.20	IL17RC	protein_coding	304.74228	210.0
ENSG00000163703.19	CRELD1	protein_coding	106.03378	89.0
ENSG00000163704.12	PRRT3	protein_coding	308.73166	241.5
ENSG00000163705.13	FANCD2OS	protein_coding	15.333012	13.0
ENSG00000163710.9	PCOLCE2	protein_coding	112.38031	6.0
ENSG00000163714.18	U2SURP	protein_coding	6960.4487	6656.5
ENSG00000163719.20	MTMR14	protein_coding	4711.1797	4184.0
ENSG00000163728.11	TTC14	protein_coding	1911.5057	1737.5
ENSG00000163734.4	CXCL3	protein_coding	498.95462	115.0
ENSG00000163735.7	CXCL5	protein_coding	44.749035	3.0
ENSG00000163736.4	PPBP	protein_coding	1283.0155	164.0
ENSG00000163737.4	PF4	protein_coding	534.362	44.0
ENSG00000163738.18	MTHFD2L	protein_coding	942.2307	714.0
ENSG00000163739.5	CXCL1	protein_coding	268.34845	58.5
ENSG00000163743.13	RCHY1	protein_coding	1353.4237	1191.0
ENSG00000163746.12	PLSCR2	protein_coding	11.892858	4.0
ENSG00000163749.17	CCDC158	protein_coding	6.1930504	3.0
ENSG00000163751.4	CPA3	protein_coding	2363.7356	401.5
ENSG00000163754.18	GYG1	protein_coding	3237.2993	2166.5
ENSG00000163755.9	HPS3	protein_coding	1071.7142	937.0
ENSG00000163762.7	TM4SF18	protein_coding	3.8445945	1.0
ENSG00000163781.14	TOPBP1	protein_coding	4701.426	4463.5
ENSG00000163785.13	RYK	protein_coding	1527.6428	1416.0
ENSG00000163788.14	SNRK	protein_coding	4080.861	3743.0
ENSG00000163792.6	TCF23	protein_coding	39.59556	3.0
ENSG00000163793.13	DNAJC5G	protein_coding	1.8397683	1.0
ENSG00000163794.6	UCN	protein_coding	67.77896	49.0
ENSG00000163795.14	ZNF513	protein_coding	688.33496	640.0
ENSG00000163798.13	SLC4A1AP	protein_coding	946.78864	822.0
ENSG00000163803.13	PLB1	protein_coding	1265.4971	866.5
ENSG00000163806.16	SPDYA	protein_coding	184.19016	163.5
ENSG00000163807.6	KIAA1143	protein_coding	1339.5946	1142.5
ENSG00000163808.17	KIF15	protein_coding	691.7191	491.5
ENSG00000163810.12	TGM4	protein_coding	86.16602	59.0
ENSG00000163811.12	WDR43	protein_coding	3010.6013	2738.5
ENSG00000163812.15	ZDHHC3	protein_coding	4055.0317	3585.5
ENSG00000163814.8	CDCP1	protein_coding	313.21814	107.0
ENSG00000163815.6	CLEC3B	protein_coding	10.7200775	3.0
ENSG00000163817.16	SLC6A20	protein_coding	14.397683	5.0
ENSG00000163818.17	LZTFL1	protein_coding	701.9247	582.0
ENSG00000163820.15	FYCO1	protein_coding	2228.7258	2076.5
ENSG00000163823.4	CCR1	protein_coding	1029.4797	359.5
ENSG00000163825.4	RTP3	protein_coding	3.9555984	0.0
ENSG00000163827.13	LRRC2	protein_coding	44.629345	14.0
ENSG00000163832.16	ELP6	protein_coding	499.06274	401.0
ENSG00000163833.8	FBXO40	protein_coding	68.48166	52.0
ENSG00000163840.10	DTX3L	protein_coding	3054.5232	2668.5
ENSG00000163848.20	ZNF148	protein_coding	2081.6775	2011.0
ENSG00000163864.17	NMNAT3	protein_coding	423.3668	257.5
ENSG00000163866.9	SMIM12	protein_coding	1125.2972	1034.5
ENSG00000163867.17	ZMYM6	protein_coding	846.49225	743.5
ENSG00000163870.16	TPRA1	protein_coding	1053.9266	902.0
ENSG00000163872.16	YEATS2	protein_coding	3012.4412	2806.0
ENSG00000163873.10	GRIK3	protein_coding	7.3513513	2.0
ENSG00000163874.11	ZC3H12A	protein_coding	3362.888	2303.0
ENSG00000163875.16	MEAF6	protein_coding	1769.86	1432.5
ENSG00000163877.11	SNIP1	protein_coding	1452.0801	1232.5
ENSG00000163879.11	DNALI1	protein_coding	35.802124	25.0
ENSG00000163882.9	POLR2H	protein_coding	716.6023	556.0
ENSG00000163884.4	KLF15	protein_coding	7.219112	2.0
ENSG00000163885.12	CFAP100	protein_coding	23.991312	13.0
ENSG00000163888.4	CAMK2N2	protein_coding	8.273166	3.0
ENSG00000163898.10	LIPH	protein_coding	56.044403	9.0
ENSG00000163900.11	TMEM41A	protein_coding	1188.0791	978.0
ENSG00000163902.12	RPN1	protein_coding	9181.647	7858.0
ENSG00000163904.13	SENP2	protein_coding	2546.837	2413.5
ENSG00000163909.8	HEYL	protein_coding	68.39865	34.0
ENSG00000163913.12	IFT122	protein_coding	1842.027	1737.5
ENSG00000163914.5	RHO	protein_coding	4.919884	2.0
ENSG00000163915.7	IGF2BP2-AS1	lncRNA	406.51062	213.0
ENSG00000163918.11	RFC4	protein_coding	721.2809	598.0
ENSG00000163923.10	RPL39L	protein_coding	66.36294	29.0
ENSG00000163930.10	BAP1	protein_coding	5047.114	4585.5
ENSG00000163931.16	TKT	protein_coding	30348.672	23183.0
ENSG00000163932.15	PRKCD	protein_coding	4843.7695	3840.5
ENSG00000163933.10	RFT1	protein_coding	759.27704	667.0
ENSG00000163935.14	SFMBT1	protein_coding	489.04343	397.5
ENSG00000163938.17	GNL3	protein_coding	2129.3582	1805.5
ENSG00000163939.18	PBRM1	protein_coding	4784.5156	4504.0
ENSG00000163945.19	UVSSA	protein_coding	2100.8967	1979.5
ENSG00000163946.13	TASOR	protein_coding	3780.3186	3389.5
ENSG00000163947.12	ARHGEF3	protein_coding	1679.2191	1265.0
ENSG00000163950.13	SLBP	protein_coding	2730.0771	2224.5
